lea_id,district_name,state,schedule_type,p_student_periods,p_teacher_teaching,p_teacher_planning,p_teacher_duty_plc,phi_schedule_multiplier,phi_min,phi_max,planning_mandate_source,regime_notes
2011640,Shawnee Mission Public Schools,KS,7-Period Traditional (Shifted 2020-22),7,5,1,1,1.400,1.167,1.400,NEA-SM Negotiated Agreement Art. XI / Board Action Jan 2020,"Phased shift from 6-of-7 (phi=1.167) pre-2020 to 5-of-7 (phi=1.400) post-2020. 1 personal prep + 1 PLC/collaborative period."
2010140,Olathe Public Schools,KS,8-Block Alternating A/B (Blue/Gold),8,6,1,1,1.333,1.250,1.400,OEA Negotiated Agreement / HS Faculty Handbook,"8 blocks per 2-week cycle. Typically 6 teaching blocks + 1 individual prep + 1 department/PLC or advisory block."
2012000,Blue Valley School District,KS,Hybrid Traditional / Block (7 Courses),7,5,1,1,1.400,1.167,1.400,BV-NEA Negotiated Agreement / Secondary Guidelines,"7 course enrollments. Teachers typically teach 5 or 6 periods; with duty/seminar, effective load is 5 of 7 (phi=1.400) or 6 of 7 (phi=1.167)."
2007950,Kansas City Kansas Public Schools (KCKPS),KS,8-Block Alternating A/B Schedule,8,6,1,1,1.333,1.250,1.333,KCK-NEA Negotiated Agreement (Workload Art. VIII),"8 blocks per 2-day rotation. 6 instructional blocks taught; 1 individual prep + 1 PLC/advisory block."
2916400,Kansas City Public Schools (KCPS 33),MO,7-Period / Modified Block Hybrid,7,5,1,1,1.400,1.167,1.400,KCFT & SRP Collective Bargaining Agreement / MSIP 6,"Missouri MSIP 6 requires >=250 min weekly self-directed prep. Secondary teachers teach 5 or 6 periods of 7."
2922800,North Kansas City 74,MO,8-Block Alternating A/B (Gold/Purple),8,6,1,1,1.333,1.250,1.333,NKC Board Policy & Secondary Faculty Handbook / MSIP 6,"8 blocks across 2 days (4 per day). 6 teaching blocks + 1 prep block + 1 team/PLC block (phi = 8/6 = 1.333)."
2918300,Lee's Summit R-VII,MO,8-Block Alternating A/B (Silver/Blue),8,6,1,1,1.333,1.250,1.333,LSR7 Board Policy GCL / Secondary Faculty Handbook,"8 blocks per cycle. 6 teaching blocks + 1 plan block + 1 PLC/Bronco time/advisory (phi = 8/6 = 1.333)."
2003780,Basehor-Linwood USD 458,KS,7-Period Traditional Daily,7,6,1,0,1.167,1.167,1.167,BL-NEA Negotiated Agreement,"Traditional 7 periods daily. Teachers teach 6 periods with 1 daily planning period (phi = 7/6 = 1.167)."
2926480,Richmond R-XVI,MO,7-Period Traditional Daily,7,6,1,0,1.167,1.167,1.167,MSIP 6 Compliance / RHS Faculty Handbook,"Rural 7-period day. Teachers teach 6 instructional periods with 1 daily prep period meeting MSIP 6 >=250 min (phi = 1.167)."
2915480,Independence 30,MO,4-Day Week / Modified Extended Block,8,6,1,1,1.333,1.250,1.400,ISD 4-Day Calendar Policy (Adopted SY 2023-24),"Transitioned to 4-day instructional week in 2023-24. 8 course equivalents across extended blocks; teachers teach 6 blocks (phi = 1.333)."
