measure_id,name,slug,category,provenance_tier,derived_or_reported,formula_summary,numerator_measure_id,denominator_measure_id,unit,unit_of_observation,target_population,geo_granularity,temporal_granularity,earliest_year,latest_year,cadence,primary_source_id,status,dossier_path
EDU-001,Pupil / Teacher Ratio,pupil-teacher-ratio,Staffing Capacity,tier_1_national_census,derived,Student Enrollment (K-12) / Total Teacher FTE,EDU-002,EDU-003,students_per_fte,School / LEA,Public elementary and secondary students,School / LEA / State / National,Annual Fall Snapshot,1986-87,2024-25,Annual,nces-ccd,audited,measures/EDU-001-pupil-teacher-ratio/README.md
EDU-002,Student Headcount Enrollment,student-enrollment,Enrollment & Demographics,tier_1_national_census,reported,Fall membership headcount (total or K-12),,,students,School / LEA,Public elementary and secondary students,School / LEA / State / National,Annual Fall Snapshot,1986-87,2024-25,Annual,nces-ccd,proposed,measures/EDU-002-student-enrollment/README.md
EDU-003,Total Teacher FTE,total-teacher-fte,Staffing Capacity,tier_1_national_census,reported,Total certified instructional teacher full-time equivalents,,,fte_teachers,School / LEA,Instructional faculty in public schools,School / LEA / State / National,Annual Fall Snapshot,1986-87,2024-25,Annual,nces-ccd,proposed,measures/EDU-003-total-teacher-fte/README.md
EDU-004,Classroom Teacher FTE,classroom-teacher-fte,Staffing Capacity,tier_2_state_disaggregated,reported,General and subject-matter classroom teacher FTE excluding specialists,,,fte_teachers,School / LEA,Classroom instructional teachers,School / LEA / State,Annual Fall Snapshot,2000-01,2024-25,Annual,ksde,proposed,measures/EDU-004-classroom-teacher-fte/README.md
EDU-005,Paraprofessional FTE,paraprofessional-fte,Staffing Capacity,tier_1_national_census,reported,Instructional aides and paraprofessional full-time equivalents,,,fte_aides,LEA / School,Instructional support aides in public schools,LEA / School / State / National,Annual Fall Snapshot,1998-99,2024-25,Annual,nces-ccd,proposed,measures/EDU-005-paraprofessional-fte/README.md
EDU-006,Section Enrollment,section-enrollment,Coursework & Curricular Load,tier_3_microdata_census,reported,Rostered student headcount in a distinct course section,,,students_per_section,Course Section,Secondary students enrolled in credit-bearing courses,School / Course,Biennial School Year,2011-12,2023-24,Biennial,crdc,proposed,measures/EDU-006-section-enrollment/README.md
EDU-007,Student-Weighted Class Size,student-weighted-class-size,Coursework & Curricular Load,tier_4_survey_benchmark,derived,Sum of squared section enrollments / Sum of section enrollments (or teacher survey mean),EDU-006,,students_per_class,School / Teacher,Public secondary school classes,School / State / National,Biennial / Periodic,1993-94,2023-24,Biennial,crdc,proposed,measures/EDU-007-student-weighted-class-size/README.md
EDU-008,Chronic Absenteeism Rate,chronic-absenteeism-rate,Student Need & Complexity,tier_1_national_census,derived,Students missing >= 10% of enrolled school days / Total enrolled students,,,percent,School / LEA,Public K-12 students enrolled for >= 90 days,School / LEA / State / National,Annual Cumulative,2015-16,2023-24,Annual,edfacts,proposed,measures/EDU-008-chronic-absenteeism-rate/README.md
EDU-009,IDEA Special Education Enrollment,idea-special-education-enrollment,Student Need & Complexity,tier_1_national_census,reported,Students with Individualized Education Programs (IEPs) under IDEA Part B,,,students,School / LEA,Public school students receiving special education services,School / LEA / State / National,Annual Fall Snapshot,1990-91,2024-25,Annual,edfacts,proposed,measures/EDU-009-idea-special-education-enrollment/README.md
EDU-010,Section 504 Accommodation Enrollment,section-504-accommodation-enrollment,Student Need & Complexity,tier_3_microdata_census,reported,Students receiving accommodations under Section 504 of the Rehabilitation Act,,,students,School / LEA,Public school students with 504 plans,School / LEA / State / National,Biennial School Year,2011-12,2023-24,Biennial,crdc,proposed,measures/EDU-010-section-504-accommodation-enrollment/README.md
